Date,Vertical,Store_ID,Store_Name,Vertical_x_StoreID,Total_Searches,Successful_Search_Sessions,PPVS,Units,CTR,CVR,U_Se
Jul 2026,WomenSari,9og,Women's Sarees,WomenSari 9og,24094573,14239569,80176431,462403,59.10%,0.58%,1.92%
Jul 2025,WomenSari,9og,Women's Sarees,WomenSari 9og,28325108,15981636,78314290,530630,56.42%,0.68%,1.87%
Jul 2026,WomenEthnicSet,tys,Women's Ethnic Sets,WomenEthnicSet tys,23865260,13172096,75141496,460325,55.19%,0.61%,1.93%
Jul 2025,WomenEthnicSet,tys,Women's Ethnic Sets,WomenEthnicSet tys,31750986,16981187,83031582,535626,53.48%,0.65%,1.69%
Jul 2026,WomenKurtaAndKurti,rkt,Women's Kurtas,WomenKurtaAndKurti rkt,14453925,7956791,34668747,293837,55.05%,0.85%,2.03%
Jul 2025,WomenKurtaAndKurti,rkt,Women's Kurtas,WomenKurtaAndKurti rkt,17514724,9530576,39548439,372619,54.41%,0.94%,2.13%
Jul 2026,WomenSalwarKurtaDupatta,tys,Women's Ethnic Sets,WomenSalwarKurtaDupatta tys,6008843,4089252,25129876,130349,68.05%,0.52%,2.17%
Jul 2025,WomenSalwarKurtaDupatta,tys,Women's Ethnic Sets,WomenSalwarKurtaDupatta tys,5202924,3460416,19960551,108079,66.51%,0.54%,2.08%
Jul 2026,WomenEthnicSet,itg,Ethnic Sets,WomenEthnicSet itg,4896002,2725858,14453341,88192,55.68%,0.61%,1.80%
Jul 2025,WomenEthnicSet,itg,Ethnic Sets,WomenEthnicSet itg,2373840,1197874,5409205,32881,50.46%,0.61%,1.39%
Jul 2026,WomenKurtaAndKurti,cib,Kurtas,WomenKurtaAndKurti cib,4865709,2630385,10570715,87874,54.06%,0.83%,1.81%
Jul 2025,WomenKurtaAndKurti,cib,Kurtas,WomenKurtaAndKurti cib,3001623,1628628,5941706,53879,54.26%,0.91%,1.79%
Jul 2026,WomenSari,zpd,Sarees,WomenSari zpd,4792013,2746972,14645405,94313,57.32%,0.64%,1.97%
Jul 2025,WomenSari,zpd,Sarees,WomenSari zpd,3505914,2163194,9782142,76659,61.70%,0.78%,2.19%
Jul 2026,WomenBlouse,hny,Woman's Blouse,WomenBlouse hny,3617839,2089691,10153377,83658,57.76%,0.82%,2.31%
Jul 2025,WomenBlouse,hny,Woman's Blouse,WomenBlouse hny,4427167,2383831,10213459,89148,53.85%,0.87%,2.01%
Jul 2026,WomenFabric,ms4,Women's Dress Materials,WomenFabric ms4,2774201,1403619,6848006,43447,50.60%,0.63%,1.57%
Jul 2025,WomenFabric,ms4,Women's Dress Materials,WomenFabric ms4,2962288,1488461,6492972,46100,50.25%,0.71%,1.56%
